building_nickname,building_full_name,latitude,longitude
ANDHL,A. Gary Anderson Hall,33.96945561,-117.3261001
ARTS,Art Building,33.9750432,-117.3318037
ATH,Athletics and Dance Building,33.97479652,-117.329907
BARN,The Barn,33.97228445,-117.330488
BATCH,Batchelor Hall,33.9722063,-117.3250806
BOYHL,Alfred M. Boyce Hall,33.97354259,-117.3248728
BRNHL,Bourns Hall,33.975323,-117.326965
CAMP,Campbell Hall,33.97184824,-117.3253724
CBN,College Building North,33.967867,-117.3262592
CBS,College Building South,33.96755885,-117.3263823
CHEM,Chemical Sciences,33.97430287,-117.322709
CHPHL,Homer D. Chapman Hall,33.97024602,-117.326334
CHUNG,Winston Chung Hall,33.97526523,-117.3259392
DUNDE,Dundee,33.9786181,-117.3246907
ENTMU,Entomology Museum,33.97006752,-117.3255573
ENTOM,Entomology,33.97102255,-117.3258
EUV,Extension University Village,,
GENOM,Genomics Building,33.97153239,-117.3262017
GEOL,Geology,33.97441401,-117.326254
HMNSS,Humanities and Social Sciences,33.97291462,-117.3308199
HOUSE,Botany Headhouses,33.96966732,-117.3246814
HUMN,Humanities,33.97159901,-117.3285145
INTN,CHASS Interdisciplinary-North,33.97530136,-117.3303983
INTS,CHASS Interdisciplinary-South,33.97479337,-117.33035
LFSC,Life Sciences,33.97237077,-117.3265929
MSE,Materials Sci and Engineering,33.97620836,-117.3282425
NORD,North District,33.97945659,-117.3266594
OFFCM,Off Campus,,
OLMH,Olmsted,33.9713019,-117.3279175
ONLINE,Online,,
ORBLI,Raymond Orbach Science Library,33.97450793,-117.3243761
PHY,Physics,33.97450909,-117.3254117
PRCE,Pierce Hall,33.97405411,-117.327402
PSYCH,Psychology,33.97067491,-117.3275417
SBB,School of Business Building,33.9698764,-117.3264573
SCLAB,Science Lab,33.9739297,-117.3262497
SKYE,Skye Hall,33.97523931,-117.3288832
SOM2,SOM EDUC 2,33.97321598,-117.32426
SOMED,SOM EDUCATION I,33.97379232,-117.3239906
SPR,Sproul Hall,33.9727667,-117.3297609
SPTH,Spieth Hall,33.9728206,-117.3266117
SSC,Student Success Center,33.9742408,-117.3305565
TBA,To Be Announced,,
UNLH,University Lecture Hall,33.97569983,-117.3284236
UOB,University Office Building,33.9717353,-117.3249507
WAT,Gordon Watkins Hall,33.97256806,-117.3290177
WEBHL,Webber Hall,33.97352143,-117.3253315
